image1,image2,resnet cosine similarity
final_submissions/12/2.jpg,ai/12A_11.png,0.7797063887119293
final_submissions/12/2.jpg,ai/12A_12.png,0.7746985554695129
final_submissions/12/2.jpg,ai/12A_13.png,0.7645540833473206
final_submissions/12/2.jpg,ai/12A_14.png,0.8072936832904816
final_submissions/12/2.jpg,ai/12A_15.png,0.7684332132339478
final_submissions/12/2.jpg,ai/12A_16.png,0.7719429731369019
final_submissions/12/2.jpg,ai/12A_17.png,0.7766623198986053
final_submissions/12/2.jpg,ai/12A_18.png,0.773762047290802
final_submissions/12/2.jpg,ai/12A_19.png,0.7657196223735809
final_submissions/12/2.jpg,ai/12A_20.png,0.7761369347572327
final_submissions/12/2.jpg,web/12A_1.jpg,0.8374440670013428
final_submissions/12/2.jpg,web/12A_10.jpg,0.8181442618370056
final_submissions/12/2.jpg,web/12A_2.jpg,0.7807409167289734
final_submissions/12/2.jpg,web/12A_3.jpg,0.7827977538108826
final_submissions/12/2.jpg,web/12A_4.jpg,0.8241051733493805
final_submissions/12/2.jpg,web/12A_5.jpg,0.8384847044944763
final_submissions/12/2.jpg,web/12A_6.jpg,0.7771295011043549
final_submissions/12/2.jpg,web/12A_7.jpg,0.7846015691757202
final_submissions/12/2.jpg,web/12A_8.jpg,0.7678510844707489
final_submissions/12/2.jpg,web/12A_9.jpg,0.820857971906662
final_submissions/12/2.jpg,web/12B_1.jpg,0.7898473143577576
final_submissions/12/2.jpg,web/12B_10.jpg,0.7557830214500427
final_submissions/12/2.jpg,web/12B_2.jpg,0.7581725120544434
final_submissions/12/2.jpg,web/12B_3.jpg,0.7867258787155151
final_submissions/12/2.jpg,web/12B_4.jpg,0.7725615203380585
final_submissions/12/2.jpg,web/12B_5.jpg,0.7370172441005707
final_submissions/12/2.jpg,web/12B_6.jpg,0.7652527093887329
final_submissions/12/2.jpg,web/12B_7.jpg,0.9054141640663148
final_submissions/12/2.jpg,web/12B_8.jpg,0.7566415965557098
final_submissions/12/2.jpg,web/12B_9.jpg,0.8098116815090179
final_submissions/12/3.jpg,ai/12A_11.png,0.8707859516143799
final_submissions/12/3.jpg,ai/12A_12.png,0.8531551361083984
final_submissions/12/3.jpg,ai/12A_13.png,0.8308839201927185
final_submissions/12/3.jpg,ai/12A_14.png,0.8493881821632385
final_submissions/12/3.jpg,ai/12A_15.png,0.8300249576568604
final_submissions/12/3.jpg,ai/12A_16.png,0.815027117729187
final_submissions/12/3.jpg,ai/12A_17.png,0.7903313040733337
final_submissions/12/3.jpg,ai/12A_18.png,0.7895573079586029
final_submissions/12/3.jpg,ai/12A_19.png,0.7930788397789001
final_submissions/12/3.jpg,ai/12A_20.png,0.8230642676353455
final_submissions/12/3.jpg,web/12A_1.jpg,0.8386656045913696
final_submissions/12/3.jpg,web/12A_10.jpg,0.8853841423988342
final_submissions/12/3.jpg,web/12A_2.jpg,0.8865342140197754
final_submissions/12/3.jpg,web/12A_3.jpg,0.8726706206798553
final_submissions/12/3.jpg,web/12A_4.jpg,0.8974103629589081
final_submissions/12/3.jpg,web/12A_5.jpg,0.7974486947059631
final_submissions/12/3.jpg,web/12A_6.jpg,0.8526144921779633
final_submissions/12/3.jpg,web/12A_7.jpg,0.8579483330249786
final_submissions/12/3.jpg,web/12A_8.jpg,0.8812185823917389
final_submissions/12/3.jpg,web/12A_9.jpg,0.8565196692943573
final_submissions/12/3.jpg,web/12B_1.jpg,0.8473828434944153
final_submissions/12/3.jpg,web/12B_10.jpg,0.8492015600204468
final_submissions/12/3.jpg,web/12B_2.jpg,0.8203513622283936
final_submissions/12/3.jpg,web/12B_3.jpg,0.8175691366195679
final_submissions/12/3.jpg,web/12B_4.jpg,0.8206247091293335
final_submissions/12/3.jpg,web/12B_5.jpg,0.8209522068500519
final_submissions/12/3.jpg,web/12B_6.jpg,0.8724164664745331
final_submissions/12/3.jpg,web/12B_7.jpg,0.8109301328659058
final_submissions/12/3.jpg,web/12B_8.jpg,0.8175182938575745
final_submissions/12/3.jpg,web/12B_9.jpg,0.8058787882328033
final_submissions/12/4.jpg,ai/12A_11.png,0.8055436611175537
final_submissions/12/4.jpg,ai/12A_12.png,0.8044812083244324
final_submissions/12/4.jpg,ai/12A_13.png,0.8065915107727051
final_submissions/12/4.jpg,ai/12A_14.png,0.8387536406517029
final_submissions/12/4.jpg,ai/12A_15.png,0.8185861110687256
final_submissions/12/4.jpg,ai/12A_16.png,0.800815999507904
final_submissions/12/4.jpg,ai/12A_17.png,0.7971928119659424
final_submissions/12/4.jpg,ai/12A_18.png,0.805842787027359
final_submissions/12/4.jpg,ai/12A_19.png,0.806106299161911
final_submissions/12/4.jpg,ai/12A_20.png,0.8257988691329956
final_submissions/12/4.jpg,web/12A_1.jpg,0.8032219707965851
final_submissions/12/4.jpg,web/12A_10.jpg,0.8826371431350708
final_submissions/12/4.jpg,web/12A_2.jpg,0.870076060295105
final_submissions/12/4.jpg,web/12A_3.jpg,0.818648636341095
final_submissions/12/4.jpg,web/12A_4.jpg,0.8280006945133209
final_submissions/12/4.jpg,web/12A_5.jpg,0.765002965927124
final_submissions/12/4.jpg,web/12A_6.jpg,0.8423209190368652
final_submissions/12/4.jpg,web/12A_7.jpg,0.8217850923538208
final_submissions/12/4.jpg,web/12A_8.jpg,0.8241579532623291
final_submissions/12/4.jpg,web/12A_9.jpg,0.8488343358039856
final_submissions/12/4.jpg,web/12B_1.jpg,0.8373362123966217
final_submissions/12/4.jpg,web/12B_10.jpg,0.8064227104187012
final_submissions/12/4.jpg,web/12B_2.jpg,0.7894842624664307
final_submissions/12/4.jpg,web/12B_3.jpg,0.8138700723648071
final_submissions/12/4.jpg,web/12B_4.jpg,0.7899214029312134
final_submissions/12/4.jpg,web/12B_5.jpg,0.7822499871253967
final_submissions/12/4.jpg,web/12B_6.jpg,0.8245495557785034
final_submissions/12/4.jpg,web/12B_7.jpg,0.8008564114570618
final_submissions/12/4.jpg,web/12B_8.jpg,0.766869843006134
final_submissions/12/4.jpg,web/12B_9.jpg,0.8339078426361084
final_submissions/12/5.jpg,ai/12A_11.png,0.793038010597229
final_submissions/12/5.jpg,ai/12A_12.png,0.788654625415802
final_submissions/12/5.jpg,ai/12A_13.png,0.7812557220458984
final_submissions/12/5.jpg,ai/12A_14.png,0.8162649571895599
final_submissions/12/5.jpg,ai/12A_15.png,0.7892295122146606
final_submissions/12/5.jpg,ai/12A_16.png,0.7845821678638458
final_submissions/12/5.jpg,ai/12A_17.png,0.7771828174591064
final_submissions/12/5.jpg,ai/12A_18.png,0.7756701111793518
final_submissions/12/5.jpg,ai/12A_19.png,0.7699113488197327
final_submissions/12/5.jpg,ai/12A_20.png,0.7857005894184113
final_submissions/12/5.jpg,web/12A_1.jpg,0.8424177765846252
final_submissions/12/5.jpg,web/12A_10.jpg,0.8280572593212128
final_submissions/12/5.jpg,web/12A_2.jpg,0.7988979518413544
final_submissions/12/5.jpg,web/12A_3.jpg,0.8052411079406738
final_submissions/12/5.jpg,web/12A_4.jpg,0.8414236605167389
final_submissions/12/5.jpg,web/12A_5.jpg,0.8085894584655762
final_submissions/12/5.jpg,web/12A_6.jpg,0.8050505518913269
final_submissions/12/5.jpg,web/12A_7.jpg,0.7951833307743073
final_submissions/12/5.jpg,web/12A_8.jpg,0.7823838591575623
final_submissions/12/5.jpg,web/12A_9.jpg,0.8504765033721924
final_submissions/12/5.jpg,web/12B_1.jpg,0.7877027690410614
final_submissions/12/5.jpg,web/12B_10.jpg,0.7781942486763
final_submissions/12/5.jpg,web/12B_2.jpg,0.7653451561927795
final_submissions/12/5.jpg,web/12B_3.jpg,0.7706559002399445
final_submissions/12/5.jpg,web/12B_4.jpg,0.7663997113704681
final_submissions/12/5.jpg,web/12B_5.jpg,0.7515021562576294
final_submissions/12/5.jpg,web/12B_6.jpg,0.7915551364421844
final_submissions/12/5.jpg,web/12B_7.jpg,0.8421392440795898
final_submissions/12/5.jpg,web/12B_8.jpg,0.77372807264328
final_submissions/12/5.jpg,web/12B_9.jpg,0.7816267609596252
final_submissions/12/6.jpg,ai/12A_11.png,0.8510918021202087
final_submissions/12/6.jpg,ai/12A_12.png,0.8548092842102051
final_submissions/12/6.jpg,ai/12A_13.png,0.8995677828788757
final_submissions/12/6.jpg,ai/12A_14.png,0.9110581278800964
final_submissions/12/6.jpg,ai/12A_15.png,0.9007221460342408
final_submissions/12/6.jpg,ai/12A_16.png,0.8824563026428223
final_submissions/12/6.jpg,ai/12A_17.png,0.8899152278900146
final_submissions/12/6.jpg,ai/12A_18.png,0.8930060565471649
final_submissions/12/6.jpg,ai/12A_19.png,0.9088814556598664
final_submissions/12/6.jpg,ai/12A_20.png,0.8986109495162964
final_submissions/12/6.jpg,web/12A_1.jpg,0.7894030213356018
final_submissions/12/6.jpg,web/12A_10.jpg,0.7909221351146698
final_submissions/12/6.jpg,web/12A_2.jpg,0.8392386436462402
final_submissions/12/6.jpg,web/12A_3.jpg,0.8269574642181396
final_submissions/12/6.jpg,web/12A_4.jpg,0.8149816989898682
final_submissions/12/6.jpg,web/12A_5.jpg,0.7377122342586517
final_submissions/12/6.jpg,web/12A_6.jpg,0.8758382201194763
