Final_Submission,Inspiration,Dino_Similarity,Color_Similarity,Contrast_Similarity,ResNet_Similarity,Source
1_data\1\final\1.png,data\1\web\1B_6.JPG,0.34815906138234415,0.7803566871987769,0.883446087490314,0.6108674858752327,Web
1_data\1\final\1.png,data\1\web\1B_7.JPG,0.4240201214766291,0.8109477744509959,0.8497792148971327,0.6804836983266036,Web
1_data\1\final\1.png,data\1\web\1B_8.JPG,0.6724745554267957,0.7556111780814518,0.8943735603428861,0.7857079459988472,Web
1_data\1\final\1.png,data\1\web\1B_9.JPG,0.5195085622591963,0.4547521184641975,0.8229945201508894,0.731912051518984,Web
1_data\1\final\1.png,data\1\ai\1A_11.png,0.45937705949120416,0.03273306384087674,0.7614650219523305,0.5325696816412224,AI
1_data\1\final\1.png,data\1\ai\1A_12.png,0.45937705949120416,0.03273306384087674,0.7614650219523305,0.5325696816412224,AI
1_data\1\final\1.png,data\1\ai\1A_13.png,0.46280374166080296,0.0,0.7467720990755242,0.550916412562174,AI
1_data\1\final\1.png,data\1\ai\1B_11.png,0.5430872716195981,0.6627582326965914,0.8667035855080623,0.6720566440145102,AI
1_data\1\final\1.png,data\1\ai\1B_12_1.png,0.532432319860834,0.31692024760787346,0.7924933685991652,0.5584921161678591,AI
1_data\1\final\1.png,data\1\ai\1B_12_2.png,0.5487788111476457,0.6622229207301004,0.8663385740833844,0.6792954282831303,AI
1_data\1\final\1.png,data\1\ai\1B_12_3.png,0.49509859654216326,0.3279287171716507,0.7976066042288494,0.5761658654432014,AI
1_data\1\final\1.png,data\1\ai\1B_12_4.png,0.46736992966603175,0.2723121734070548,0.7815183160265549,0.6317247747180015,AI
1_data\1\final\1.png,data\1\ai\1B_13_1.png,0.4974980035266491,0.7315661127225729,0.8599425046025015,0.5790400177147795,AI
1_data\1\final\1.png,data\1\ai\1B_13_2.png,0.4486440080489855,0.7519517695383204,0.8628602315659005,0.6957338780749447,AI
1_data\1\final\1.png,data\1\ai\1B_13_3.png,0.40232099108765995,0.6627198846808401,0.8379045105839726,0.6433071937849149,AI
1_data\1\final\1.png,data\1\ai\1B_13_4.png,0.5647400575091738,0.8157937894160863,0.8611564154036011,0.6777563121891363,AI
1_data\1\final\1.png,data\1\ai\1B_14.png,0.4364670159296334,0.5909708423184319,0.8338724147788855,0.6468576486876189,AI
1_data\1\final\1.png,data\1\ai\1B_15_1.png,0.393996147065552,0.6816998690482993,0.8204519075564213,0.5660435015892791,AI
1_data\1\final\1.png,data\1\ai\1B_15_2.png,0.429590161454281,0.5750514587725539,0.8316266738503572,0.6440302044704,AI
1_data\1\final\1.png,data\1\ai\1B_15_3.png,0.4397952202207375,0.6507114989509784,0.843138202356287,0.650362788207309,AI
1_data\1\final\1.png,data\1\ai\1B_15_4.png,0.7146040142350559,0.4875382148252623,0.820370798508125,0.7436925513026647,AI
1_data\1\final\1.png,data\1\ai\1B_16_1.png,0.4107768377921691,0.74191685214411,0.8517464172247898,0.6077569008606013,AI
1_data\1\final\1.png,data\1\ai\1B_16_2.png,0.4796539324056442,0.787828069243003,0.863706586002703,0.6694508487983684,AI
1_data\1\final\1.png,data\1\ai\1B_16_3.png,0.43726641671700633,0.7274633575253678,0.8646327017597126,0.6640328216212441,AI
1_data\1\final\1.png,data\1\ai\1B_16_4.png,0.49596933774304314,0.4838844711637514,0.8537941610065104,0.659583772314947,AI
1_data\1\final\1.png,data\1\ai\1B_17_1.png,0.38809921942394676,0.6774936490510324,0.8303408050263043,0.6840406880717753,AI
1_data\1\final\1.png,data\1\ai\1B_17_2.png,0.43154794049436546,0.6765083847771248,0.8287812285837908,0.6634226173147507,AI
1_data\1\final\1.png,data\1\ai\1B_17_3.png,0.39247614787064133,0.659944062749707,0.8152477105340573,0.6063699073289704,AI
1_data\1\final\1.png,data\1\ai\1B_17_4.png,0.4504932372291186,0.5661105988417907,0.8350362255858602,0.7025397558122202,AI
1_data\1\final\1.png,data\1\ai\1B_18_1.png,0.45708021271656757,0.5799095088740055,0.8306925116462405,0.610943118642154,AI
1_data\1\final\1.png,data\1\ai\1B_18_2.png,0.39485587935646765,0.64673860198326,0.8357798424082199,0.6755639261055012,AI
1_data\1\final\1.png,data\1\ai\1B_18_3.png,0.4596008515575897,0.4515080576270332,0.7920682466456951,0.5963882032809515,AI
1_data\1\final\1.png,data\1\ai\1B_18_4.png,0.4656731521387773,0.6496358667333468,0.8472759090232405,0.6471895329821267,AI
1_data\1\final\2.png,data\1\web\1A_1.jpg,0.6934113606279068,0.6375797787871528,0.8223913678885472,0.798052691934617,Web
1_data\1\final\2.png,data\1\web\1A_10.jpg,0.3652619551303767,0.9277840452939055,0.5222458636904614,0.5943449401598583,Web
1_data\1\final\2.png,data\1\web\1A_2.jpg,0.897950616957802,0.8984660139491231,0.954289136953449,0.8407887404878538,Web
1_data\1\final\2.png,data\1\web\1A_3.jpg,0.7496249295327285,0.8487860045481609,0.9581348805230082,0.7849774363138089,Web
1_data\1\final\2.png,data\1\web\1A_4.jpg,0.8809380029638227,0.8116364224507987,0.9201332595094461,0.7521769193970569,Web
1_data\1\final\2.png,data\1\web\1A_5.jpg,0.9258022891622878,0.8885313689363588,0.8819346032330652,0.8006180996817371,Web
1_data\1\final\2.png,data\1\web\1A_6.jpg,0.44082112347482155,0.6762666080332124,0.683216432699567,0.6212979514822228,Web
1_data\1\final\2.png,data\1\web\1A_7.jpg,0.8350151213987052,0.7768846237294311,0.8951903447252023,0.7138448190242334,Web
1_data\1\final\2.png,data\1\web\1A_8.jpg,0.8046126613322921,0.7306232729625787,0.9480179067941703,0.7950538420133271,Web
1_data\1\final\2.png,data\1\web\1A_9.jpg,0.8367084189057885,0.8955213746118885,0.9507111168594219,0.7953290552969263,Web
1_data\1\final\2.png,data\1\web\1B_1.JPG,0.5736424510327491,0.7634544297233808,0.8507155695173099,0.7052235406237143,Web
1_data\1\final\2.png,data\1\web\1B_10.JPG,0.8182469118982785,0.8472515627459959,0.9561484816952575,0.7910857999640798,Web
