final_photo,inspiration,similarity
data\final_submissions\1\6.png,data\ai\1B_13_2.png,0.8827493190765381
data\final_submissions\1\6.png,data\ai\1B_13_3.png,0.8413524627685547
data\final_submissions\1\6.png,data\ai\1B_13_4.png,0.9001783728599548
data\final_submissions\1\6.png,data\ai\1B_14.png,0.8792652487754822
data\final_submissions\1\6.png,data\ai\1B_15_1.png,0.8375170528888702
data\final_submissions\1\6.png,data\ai\1B_15_2.png,0.8793601989746094
data\final_submissions\1\6.png,data\ai\1B_15_3.png,0.8892724514007568
data\final_submissions\1\6.png,data\ai\1B_15_4.png,0.7457454055547714
data\final_submissions\1\6.png,data\ai\1B_16_1.png,0.897893637418747
data\final_submissions\1\6.png,data\ai\1B_16_2.png,0.9053964614868164
data\final_submissions\1\6.png,data\ai\1B_16_3.png,0.8799612522125244
data\final_submissions\1\6.png,data\ai\1B_16_4.png,0.8870774507522583
data\final_submissions\1\6.png,data\ai\1B_17_1.png,0.8653871417045593
data\final_submissions\1\6.png,data\ai\1B_17_2.png,0.874180942773819
data\final_submissions\1\6.png,data\ai\1B_17_3.png,0.8762513995170593
data\final_submissions\1\6.png,data\ai\1B_17_4.png,0.8788307011127472
data\final_submissions\1\6.png,data\ai\1B_18_1.png,0.8993008732795715
data\final_submissions\1\6.png,data\ai\1B_18_2.png,0.8640254735946655
data\final_submissions\1\6.png,data\ai\1B_18_3.png,0.8735668063163757
data\final_submissions\1\6.png,data\ai\1B_18_4.png,0.8867051899433136
data\final_submissions\1\6.png,data\web\1A_1.jpg,0.8164829611778259
data\final_submissions\1\6.png,data\web\1A_10.jpg,0.6762948036193848
data\final_submissions\1\6.png,data\web\1A_2.jpg,0.8485006988048553
data\final_submissions\1\6.png,data\web\1A_3.jpg,0.8186145722866058
data\final_submissions\1\6.png,data\web\1A_4.jpg,0.8860598802566528
data\final_submissions\1\6.png,data\web\1A_5.jpg,0.864470899105072
data\final_submissions\1\6.png,data\web\1A_6.jpg,0.6967267990112305
data\final_submissions\1\6.png,data\web\1A_7.jpg,0.885034441947937
data\final_submissions\1\6.png,data\web\1A_8.jpg,0.8245921730995178
data\final_submissions\1\6.png,data\web\1A_9.jpg,0.8729519844055176
data\final_submissions\1\6.png,data\web\1B_1.JPG,0.7861340343952179
data\final_submissions\1\6.png,data\web\1B_10.JPG,0.8376581072807312
data\final_submissions\1\6.png,data\web\1B_2.JPG,0.7883850634098053
data\final_submissions\1\6.png,data\web\1B_3.JPG,0.7909522652626038
data\final_submissions\1\6.png,data\web\1B_4.JPG,0.8007272183895111
data\final_submissions\1\6.png,data\web\1B_5.JPG,0.7588046789169312
data\final_submissions\1\6.png,data\web\1B_6.JPG,0.8337202370166779
data\final_submissions\1\6.png,data\web\1B_7.JPG,0.8814807832241058
data\final_submissions\1\6.png,data\web\1B_8.JPG,0.7569113969802856
data\final_submissions\1\6.png,data\web\1B_9.JPG,0.7745582461357117
data\final_submissions\1\7.png,data\ai\1A_11.png,0.875318855047226
data\final_submissions\1\7.png,data\ai\1A_12.png,0.875318855047226
data\final_submissions\1\7.png,data\ai\1A_13.png,0.8790686726570129
data\final_submissions\1\7.png,data\ai\1B_11.png,0.8580752015113831
data\final_submissions\1\7.png,data\ai\1B_12_1.png,0.8293083906173706
data\final_submissions\1\7.png,data\ai\1B_12_2.png,0.8578019738197327
data\final_submissions\1\7.png,data\ai\1B_12_3.png,0.877709686756134
data\final_submissions\1\7.png,data\ai\1B_12_4.png,0.8927576541900635
data\final_submissions\1\7.png,data\ai\1B_13_1.png,0.8829664587974548
data\final_submissions\1\7.png,data\ai\1B_13_2.png,0.8199705481529236
data\final_submissions\1\7.png,data\ai\1B_13_3.png,0.7822157740592957
data\final_submissions\1\7.png,data\ai\1B_13_4.png,0.8886606693267822
data\final_submissions\1\7.png,data\ai\1B_14.png,0.8548465967178345
data\final_submissions\1\7.png,data\ai\1B_15_1.png,0.8221634030342102
data\final_submissions\1\7.png,data\ai\1B_15_2.png,0.8526290059089661
data\final_submissions\1\7.png,data\ai\1B_15_3.png,0.8684735596179962
data\final_submissions\1\7.png,data\ai\1B_15_4.png,0.6678813695907593
data\final_submissions\1\7.png,data\ai\1B_16_1.png,0.8760994076728821
data\final_submissions\1\7.png,data\ai\1B_16_2.png,0.8639401197433472
data\final_submissions\1\7.png,data\ai\1B_16_3.png,0.8594975173473358
data\final_submissions\1\7.png,data\ai\1B_16_4.png,0.8616364598274231
data\final_submissions\1\7.png,data\ai\1B_17_1.png,0.8705302774906158
data\final_submissions\1\7.png,data\ai\1B_17_2.png,0.8770012259483337
data\final_submissions\1\7.png,data\ai\1B_17_3.png,0.8650185465812683
data\final_submissions\1\7.png,data\ai\1B_17_4.png,0.8644511997699738
data\final_submissions\1\7.png,data\ai\1B_18_1.png,0.873332679271698
data\final_submissions\1\7.png,data\ai\1B_18_2.png,0.8686212003231049
data\final_submissions\1\7.png,data\ai\1B_18_3.png,0.8599852323532104
