final_photo,inspiration,similarity
data\final_submissions\1\5.png,data\web\1B_4.JPG,0.7052223980426788
data\final_submissions\1\5.png,data\web\1B_5.JPG,0.6685913503170013
data\final_submissions\1\5.png,data\web\1B_6.JPG,0.8355990052223206
data\final_submissions\1\5.png,data\web\1B_7.JPG,0.8408428728580475
data\final_submissions\1\5.png,data\web\1B_8.JPG,0.6712770611047745
data\final_submissions\1\5.png,data\web\1B_9.JPG,0.7771791219711304
data\final_submissions\1\3.png,data\ai\1A_11.png,0.5936833173036575
data\final_submissions\1\3.png,data\ai\1A_12.png,0.5936833173036575
data\final_submissions\1\3.png,data\ai\1A_13.png,0.619705855846405
data\final_submissions\1\3.png,data\ai\1B_11.png,0.6228724494576454
data\final_submissions\1\3.png,data\ai\1B_12_1.png,0.6198340207338333
data\final_submissions\1\3.png,data\ai\1B_12_2.png,0.6249857395887375
data\final_submissions\1\3.png,data\ai\1B_12_3.png,0.6003825962543488
data\final_submissions\1\3.png,data\ai\1B_12_4.png,0.5868396610021591
data\final_submissions\1\3.png,data\ai\1B_13_1.png,0.5970084071159363
data\final_submissions\1\3.png,data\ai\1B_13_2.png,0.6049276292324066
data\final_submissions\1\3.png,data\ai\1B_13_3.png,0.5806971937417984
data\final_submissions\1\3.png,data\ai\1B_13_4.png,0.5952735394239426
data\final_submissions\1\3.png,data\ai\1B_14.png,0.5967988520860672
data\final_submissions\1\3.png,data\ai\1B_15_1.png,0.5843198597431183
data\final_submissions\1\3.png,data\ai\1B_15_2.png,0.5965246111154556
data\final_submissions\1\3.png,data\ai\1B_15_3.png,0.6026582568883896
data\final_submissions\1\3.png,data\ai\1B_15_4.png,0.5638159513473511
data\final_submissions\1\3.png,data\ai\1B_16_1.png,0.5985120683908463
data\final_submissions\1\3.png,data\ai\1B_16_2.png,0.6088410764932632
data\final_submissions\1\3.png,data\ai\1B_16_3.png,0.5783367455005646
data\final_submissions\1\3.png,data\ai\1B_16_4.png,0.6047820150852203
data\final_submissions\1\3.png,data\ai\1B_17_1.png,0.5764086991548538
data\final_submissions\1\3.png,data\ai\1B_17_2.png,0.5854816138744354
data\final_submissions\1\3.png,data\ai\1B_17_3.png,0.5951124876737595
data\final_submissions\1\3.png,data\ai\1B_17_4.png,0.5988915786147118
data\final_submissions\1\3.png,data\ai\1B_18_1.png,0.6028506755828857
data\final_submissions\1\3.png,data\ai\1B_18_2.png,0.5824592262506485
data\final_submissions\1\3.png,data\ai\1B_18_3.png,0.5820286795496941
data\final_submissions\1\3.png,data\ai\1B_18_4.png,0.5984675213694572
data\final_submissions\1\3.png,data\web\1A_1.jpg,0.6298322379589081
data\final_submissions\1\3.png,data\web\1A_10.jpg,0.7107056826353073
data\final_submissions\1\3.png,data\web\1A_2.jpg,0.566088855266571
data\final_submissions\1\3.png,data\web\1A_3.jpg,0.605977401137352
data\final_submissions\1\3.png,data\web\1A_4.jpg,0.60386161506176
data\final_submissions\1\3.png,data\web\1A_5.jpg,0.5786040276288986
data\final_submissions\1\3.png,data\web\1A_6.jpg,0.6350938677787781
data\final_submissions\1\3.png,data\web\1A_7.jpg,0.6299120038747787
data\final_submissions\1\3.png,data\web\1A_8.jpg,0.5812375396490097
data\final_submissions\1\3.png,data\web\1A_9.jpg,0.6108847707509995
data\final_submissions\1\3.png,data\web\1B_1.JPG,0.61862812936306
data\final_submissions\1\3.png,data\web\1B_10.JPG,0.6019862368702888
data\final_submissions\1\3.png,data\web\1B_2.JPG,0.6043165847659111
data\final_submissions\1\3.png,data\web\1B_3.JPG,0.658225953578949
data\final_submissions\1\3.png,data\web\1B_4.JPG,0.6117193475365639
data\final_submissions\1\3.png,data\web\1B_5.JPG,0.5849190801382065
data\final_submissions\1\3.png,data\web\1B_6.JPG,0.5763340666890144
data\final_submissions\1\3.png,data\web\1B_7.JPG,0.6022733077406883
